n,kappa,config,p_m,p_mc,abs_diff_p,median_length_mc,median_diff_pct
2,0.5,$R=1000$,1e-10,5.75139762999656e-05,5.75138762999656e-05,0.20309578284785768,0.027166130644842364
2,0.5,$R=4000$,1e-10,5.931215250107435e-05,5.931205250107435e-05,0.20309750830394824,0.028015938950074818
2,0.5,"$R=4000$, alt.",1e-10,5.931215250107435e-05,5.931205250107435e-05,0.20309750830394824,0.028015938950074818
2,0.5,$R=16000$,1e-10,9.59690168892565e-05,9.596891688925651e-05,0.20313269500370967,0.045345820512720916
4,0.75,$R=1000$,0.0065626809584308585,0.005156805285342341,0.0014058756730885172,0.6000113633192036,0.03549424491939546
4,0.75,$R=4000$,0.0065626809584308585,0.00618561848183526,0.0003770624765955981,0.5998395270993729,0.006845252198917133
4,0.75,"$R=4000$, alt.",0.0065626809584308585,0.005646871841448321,0.0009158091169825374,0.5999260588987042,0.021272064494804527
4,0.75,$R=16000$,0.0065626809584308585,0.005430953339523855,0.0011317276189070037,0.5999320703115361,0.022274303269780315
8,1.0,$R=1000$,0.04999999,0.04994067794749892,5.931205250107874e-05,0.5608281139664897,0.014766848951826067
8,1.0,$R=4000$,0.04999999,0.04994067794749892,5.931205250107874e-05,0.5608281139664897,0.014766848951826067
8,1.0,"$R=4000$, alt.",0.04999999,0.04994067794749892,5.931205250107874e-05,0.5608281139664897,0.014766848951826067
8,1.0,$R=16000$,0.04999999,0.04994067794749892,5.931205250107874e-05,0.5608281139664897,0.014766848951826067
25,1.25,$R=1000$,0.04999999,0.04994481327316545,5.517672683454794e-05,0.0012302124474481424,0.14248642410047646
25,1.25,$R=4000$,0.04999999,0.049945933280022094,5.40567199779074e-05,0.001230176879658984,0.13959111374142819
25,1.25,"$R=4000$, alt.",0.04999999,0.049944783775547556,5.520622445244483e-05,0.001230213384216583,0.14256267948306464
25,1.25,$R=16000$,0.04999999,0.049946218476269,5.377152373100408e-05,0.0012301678229973412,0.13885387797576917
