n,kappa,true_power,mean_equal_tail,median_equal_tail,left_tail_expected,boundary_class_expected,mean_expected,median_expected,ratio_expected,left_tail_median,boundary_class_median,mean_median,median_median,left_tail_median_mc,boundary_class_median_mc,mean_median_mc,median_median_mc,median_gain_vs_equal_tail_pct,median_gain_vs_expected_pct,median_gain_mc_vs_expected_pct,left_tail_shift_pct_points,left_tail_shift_mc_pct_points
2,0.25,0.07509410176377751,0.20785692725082552,0.10200627810257967,4.470533307236645e-07,lower boundary,0.19250510872168863,0.08763010476885136,2.1967919498609993,1e-10,lower boundary,0.19250491782591392,0.0876299144448156,5.931215250107435e-05,lower boundary,0.19253005915399082,0.08765518612281309,14.093606712428908,0.00021719024102017173,-0.028621846371050426,4.4695333072366445e-05,-0.005886509917035068
2,0.5,0.10582289051537352,0.34156007331159716,0.23373428751299674,4.470533307236645e-07,lower boundary,0.3209301042711209,0.20304105299228337,1.5806168237480425,1e-10,lower boundary,0.32092986816749786,0.20304062456652583,5.931215250107435e-05,lower boundary,0.3209603866396199,0.20309750830394824,13.13186151379874,0.00021100449944641545,-0.027804875335736653,4.4695333072366445e-05,-0.005886509917035068
2,0.75,0.1411096987600533,0.44151647346196654,0.36159420864980885,4.470533307236645e-07,lower boundary,0.42000883094223096,0.32033660725808877,1.3111484027295022,1e-10,lower boundary,0.42000861386361465,0.32033599485439823,0.00021791664921961447,lower boundary,0.4200941308725804,0.3206351345219881,11.410087000416462,0.0001911750566937197,-0.09319174179141576,4.4695333072366445e-05,-0.02174695958888908
2,1.0,0.1795624872519782,0.5192107884018258,0.47561981745178494,4.470533307236645e-07,lower boundary,0.4993822975601629,0.42968996550546656,1.1621921330481004,1e-10,lower boundary,0.49938213794931224,0.429689224953943,0.00010139696893879849,lower boundary,0.49940943088658746,0.42985736608977554,9.656997209225423,0.00017234554748723964,-0.038958457899302426,4.4695333072366445e-05,-0.010094991560807483
2,1.25,0.21981623415137164,0.5809113106333254,0.5731547502301925,0.0005618410088478406,interior,0.5643105212260654,0.5291185177971973,1.0665106252099772,1e-10,lower boundary,0.5643396071135292,0.5283615560973696,9.597274245172699e-05,lower boundary,0.5643441538209423,0.528536487218291,7.81520071408863,0.14306089739196826,0.11000003956190217,0.05618409088478406,0.04658682663961136
4,0.25,0.10636395381390473,0.18483937269145134,0.13101920318027005,0.0049177881628058384,interior,0.17442789122838107,0.12226055116727208,1.426689881266245,0.004624999165749999,interior,0.17443243610539755,0.12225708086667864,0.004608889015325577,interior,0.17443295803025782,0.12225710317024685,6.6876626486085105,0.002838446710988987,0.00282020405789967,0.029278899705583936,0.030889914748026114
4,0.5,0.19613361541722862,0.4222506962050802,0.3759534310709416,0.006801567949560595,interior,0.40750778489886097,0.3499582792405125,1.1644467614346594,0.00312499946875,interior,0.4088344908930134,0.3484756739382143,0.0031510340823995247,interior,0.4088116699787048,0.34847560332178673,7.308819354156199,0.4236520151818499,0.423672193709344,0.3676568480810595,0.365053386716107
4,0.75,0.3180898694614277,0.5958322575220506,0.6192338369701994,0.013492593036930725,interior,0.5899895829912314,0.603513537867995,0.9775912982423905,0.0065626809584308585,interior,0.5929583103044985,0.5997984693814585,0.00618561848183526,interior,0.5933503862046045,0.599801728633463,3.1386152416726216,0.6155733473122277,0.6150333010995082,0.6929912078499866,0.7306974555095465
4,1.0,0.4607850678577827,0.6916462517567948,0.7413762150680411,0.026347508832722157,interior,0.6915704587615026,0.7411671380942043,0.93308300276206,0.026800496733438012,interior,0.6915791041351393,0.7411509204862999,0.02671149852044048,interior,0.6915760380573943,0.7412036467163536,0.030388698364225974,0.002188117506947163,-0.0049258285038377364,-0.04529879007158545,-0.036398968771832185
4,1.25,0.6059123230506216,0.7292160440079635,0.7775216998880429,0.040090364566358665,interior,0.7179983574093267,0.7704067578036258,0.9319730780351516,0.03740369258323188,interior,0.7184570501124554,0.7698551244114731,0.03550978096242304,interior,0.7192571850812728,0.7700970859280004,0.9860272038290019,0.0716028755673642,0.04019589294728068,0.26866719831267827,0.4580583603935623
